EW       	NS       	|Quad|
 3.646438	 0.953572	32
 1.919797	 0.954647	33
 1.919720	 1.818003	33
 2.783006	 1.817365	33
 2.783117	 0.954110	33
 1.919874	 0.091290	34
 1.919797	 0.954647	34
 2.783117	 0.954110	34
 2.783229	 0.090854	34
 2.783229	 0.090854	35
 2.783117	 0.954110	35
 3.646438	 0.953572	35
 3.646584	 0.090417	35
 0.926272	 0.954129	36
 0.926234	 1.817527	36
 1.789598	 1.817315	36
 1.789670	 0.953951	36
 0.062873	 0.954307	37
 0.062871	 1.817739	37
 0.926234	 1.817527	37
 0.926272	 0.954129	37
 0.062876	 0.090876	38
 0.062873	 0.954307	38
 0.926272	 0.954129	38
 0.926308	 0.090731	38
 0.926308	 0.090731	39
 0.926272	 0.954129	39
 1.789670	 0.953951	39
 1.789741	 0.090586	39
-0.925944	 0.954699	40
-0.925907	 1.818096	40
-0.062544	 1.818309	40
-0.062547	 0.954877	40
-1.789342	 0.954519	41
-1.789270	 1.817884	41
-0.925907	 1.818096	41
-0.925944	 0.954699	41
-1.789413	 0.091155	42
-1.789342	 0.954519	42
-0.925944	 0.954699	42
-0.925981	 0.091301	42
-0.925981	 0.091301	43
-0.925944	 0.954699	43
-0.062547	 0.954877	43
-0.062549	 0.091446	43
-2.783095	 0.954371	44
-2.782984	 1.817627	44
-1.919698	 1.818266	44
-1.919775	 0.954909	44
-3.646416	 0.953834	45
-3.646270	 1.816989	45
-2.782984	 1.817627	45
-2.783095	 0.954371	45
-3.646562	 0.090679	46
-3.646416	 0.953834	46
-2.783095	 0.954371	46
-2.783207	 0.091115	46
-2.783207	 0.091115	47
-2.783095	 0.954371	47
-1.919775	 0.954909	47
-1.919852	 0.091552	47
 2.782814	 2.866333	48
 2.782478	 3.729505	48
 3.645543	 3.727789	48
 3.645983	 2.864718	48
 1.919645	 2.867948	49
 1.919413	 3.731221	49
 2.782478	 3.729505	49
 2.782814	 2.866333	49
 1.919878	 2.004674	50
 1.919645	 2.867948	50
 2.782814	 2.866333	50
 2.783151	 2.003161	50
 2.783151	 2.003161	51
 2.782814	 2.866333	51
 3.645983	 2.864718	51
 3.646424	 2.001648	51
 0.926383	 2.866646	52
 0.926272	 3.729962	52
 1.789415	 3.729391	52
 1.789630	 2.866109	52
 0.063136	 2.867184	53
 0.063128	 3.730533	53
 0.926272	 3.729962	53
 0.926383	 2.866646	53
 0.063143	 2.003834	54
 0.063136	 2.867184	54
 0.926383	 2.866646	54
 0.926494	 2.003330	54
 0.926494	 2.003330	55
 0.926383	 2.866646	55
 1.789630	 2.866109	55
 1.789845	 2.002826	55
-0.925905	 2.867514	56
-0.925794	 3.730829	56
-0.062651	 3.731401	56
-0.062659	 2.868051	56
-1.789152	 2.866976	57
-1.788937	 3.730258	57
-0.925794	 3.730829	57
-0.925905	 2.867514	57
-1.789367	 2.003694	58
-1.789152	 2.866976	58
-0.925905	 2.867514	58
-0.926017	 2.004198	58
-0.926017	 2.004198	59
-0.925905	 2.867514	59
-0.062659	 2.868051	59
-0.062666	 2.004701	59
-2.782243	 2.867352	60
-2.781907	 3.730524	60
-1.918842	 3.732241	60
-1.919074	 2.868968	60
-3.645412	 2.865737	61
-3.644972	 3.728808	61
-2.781907	 3.730524	61
-2.782243	 2.867352	61
-3.645853	 2.002667	62
-3.645412	 2.865737	62
-2.782243	 2.867352	62
-2.782579	 2.004180	62
-2.782579	 2.004180	63
-2.782243	 2.867352	63
-1.919074	 2.868968	63
-1.919306	 2.005694	63
